N,AC-SCRAT_trap_ms,AC-SCRAT_query_ms,AC-SCRAT_total_ms,AC-SCRAT_index_ms,EPBRQ_trap_ms,EPBRQ_query_ms,EPBRQ_total_ms,EPBRQ_index_ms,EPRQ+_trap_ms,EPRQ+_query_ms,EPRQ+_total_ms,EPRQ+_index_ms,Trinity-I_trap_ms,Trinity-I_query_ms,Trinity-I_total_ms,Trinity-I_index_ms,Trinity-II_trap_ms,Trinity-II_query_ms,Trinity-II_total_ms,Trinity-II_index_ms,MHRQ_trap_ms,MHRQ_query_ms,MHRQ_total_ms,MHRQ_index_ms
100,0.8144669991452247,109.67777500627562,110.49224200542085,9779.845857992768,25.782269003684632,1422.398102004081,1448.1803710077656,3588.2205089874333,0.6642510124947876,11492.559812002582,11493.224063015077,11939.319871991756,11.875702999532223,831.216193997534,843.0918969970662,1796.1985169968102,44.52885698992759,903.7343270028941,948.2631839928217,1857.8299219952896,0.20625899196602404,2129.2319939966546,2129.4382529886207,5364.832076986204
500,0.8779789932304993,256.7473680101102,257.6253470033407,45481.58272598812,4.963259998476133,7835.974814006477,7840.938074004953,15408.644463997916,0.26470499869901687,55007.283556013135,55007.548261011834,58570.726692007156,19.270486998721026,3905.1648790045874,3924.4353660033084,4645.9200360113755,228.03177799505647,4311.346298010903,4539.37807600596,6039.198042999487,0.5681600014213473,12052.190203990904,12052.758363992325,24934.002463007346
1000,0.6697580101899803,396.41434300574474,397.0841010159347,69081.17740300077,3.40614200104028,14118.268744001398,14121.674886002438,31417.044625006383,0.4377510049380362,109724.9198359932,109725.35758699814,117302.96164700121,11.734095009160228,7552.761539001949,7564.495634011109,11632.933026005048,474.8015539953485,8415.864146998501,8890.66570099385,12112.831181992078,0.410909007769078,22017.67138100695,22018.082290014718,49712.4152519973
2000,0.822729998617433,418.36666499148123,419.18939499009866,134850.97859299276,3.2080500095617026,28215.9117639967,28219.119814006262,62839.456258996506,0.3495410055620596,224067.72577900847,224068.07532001403,236233.96139699616,16.482630002428778,14800.425631998223,14816.908262000652,22392.14241699665,974.263622003491,16559.195540001383,17533.459162004874,23212.150759994984,3.0036840034881607,44293.134157996974,44296.13784200046,100053.25807700865
5000,3.701572000863962,5340.98585099855,5344.687422999414,401109.04688900337,86.21901500737295,70634.06922201102,70720.2882370184,158149.31266799977,1.7357580072712153,565560.4597539932,565562.1955120005,595817.4352100032,37.3144930053968,36872.47789200046,36909.79238500586,58963.95157799998,8884.581575999619,40776.5135869995,49661.09516299912,65438.41785300174,5.913305009016767,110973.0731370073,110978.98644201632,253805.01896499482
