keywords,AC-SCRAT_trap_ms,AC-SCRAT_query_ms,AC-SCRAT_total_ms,AC-SCRAT_index_ms,EPBRQ_trap_ms,EPBRQ_query_ms,EPBRQ_total_ms,EPBRQ_index_ms,EPRQ+_trap_ms,EPRQ+_query_ms,EPRQ+_total_ms,EPRQ+_index_ms,Trinity-I_trap_ms,Trinity-I_query_ms,Trinity-I_total_ms,Trinity-I_index_ms,Trinity-II_trap_ms,Trinity-II_query_ms,Trinity-II_total_ms,Trinity-II_index_ms,MHRQ_trap_ms,MHRQ_query_ms,MHRQ_total_ms,MHRQ_index_ms
1,1.6044380026869476,273.83326200651936,275.4377000092063,156380.6836369913,9.297921002143994,3092.383127004723,3101.681048006867,66404.83806900738,1.120685992646031,227757.55016600306,227758.6708519957,238705.41523498832,132.3224020015914,15011.862305007526,15144.184707009117,24838.449885006412,6451.246773998719,17066.63139500597,23517.87816900469,26081.830205002916,14.273510008933954,4774.248607995105,4788.522118004039,113100.39945400786
2,3.2575630175415426,477.7732689981349,481.0308320156764,156380.6836369913,124.36502799391747,6381.550321006216,6505.915349000134,66404.83806900738,1.200757993501611,452457.329205994,452458.52996398753,238705.41523498832,64.10742600564845,29758.46804099274,29822.575466998387,24838.449885006412,3344.6884409931954,33248.92523100425,36593.613671997446,26081.830205002916,1.8820029945345595,9730.964718997711,9732.846721992246,113100.39945400786
3,7.391039005597122,653.233355973498,660.6243949790951,156380.6836369913,51.46317800972611,9073.16739099042,9124.630569000146,66404.83806900738,24.31017899652943,682789.668235986,682813.9784149826,238705.41523498832,193.34508301108144,45123.73445199046,45317.07953500154,24838.449885006412,11823.542763988371,50194.33873399976,62017.88149798813,26081.830205002916,12.795541988452896,14114.911815995583,14127.707357984036,113100.39945400786
5,52.205307976691984,1149.8070079978788,1202.0123159745708,156380.6836369913,198.40800699603278,15268.18728298531,15466.595289981342,66404.83806900738,11.733364997780882,1136610.2929999908,1136622.0263649886,238705.41523498832,275.32195998355746,75358.63129197969,75633.95325196325,24838.449885006412,13077.36724698043,83092.48404698155,96169.85129396198,26081.830205002916,5.205829991609789,23435.220676008612,23440.42650600022,113100.39945400786
10,57.49160598497838,1825.8655210083816,1883.35712699336,156380.6836369913,158.8527469721157,29924.683478995576,30083.53622596769,66404.83806900738,9.70435404451564,2272816.461477982,2272826.1658320264,238705.41523498832,138.4338159696199,148460.47681300843,148598.91062897805,24838.449885006412,9109.602665004786,164798.50701602118,173908.10968102596,26081.830205002916,37.15742897475138,47999.08972301637,48036.24715199112,113100.39945400786
20,42.27657101000659,3494.2923440394225,3536.568915049429,156380.6836369913,90.85594897624105,59571.935945015866,59662.79189399211,66404.83806900738,50.68431298423093,4520549.637836987,4520600.3221499715,238705.41523498832,2342.478908060002,300811.9311880291,303154.4100960891,24838.449885006412,281448.3565590781,334369.4796300115,615817.8361890896,26081.830205002916,14.649592048954219,90535.626116005,90550.27570805396,113100.39945400786
