dim,N,range_pct,num_kw,algorithm,trap_ms,query_ms,index_ms,total_ms,matched
vs_N,100,30,1,BVCRSA,0.5233459996816237,3.238208999391645,56.12375499913469,59.88530999820796,11
vs_N,100,30,1,ECGRQ,0.1306060003116727,0.12307200086070225,13.164167001377791,13.417845002550166,4
vs_N,500,30,1,BVCRSA,0.6390840026142541,18.276191000040853,310.88498499957495,329.80026000223006,73
vs_N,500,30,1,ECGRQ,0.11426499986555427,0.5900320029468276,35.99134999967646,36.69564700248884,4
vs_N,800,30,1,BVCRSA,0.5340659990906715,25.476329999946756,472.94165899802465,498.9520549970621,124
vs_N,800,30,1,ECGRQ,0.07988099969225004,0.5355289977160282,42.199766998237465,42.81517699564574,4
vs_N,1000,30,1,BVCRSA,0.5215320015850011,33.79062000021804,575.8679729988216,610.1801250006247,147
vs_N,1000,30,1,ECGRQ,0.08176399933290668,0.46167899927240796,48.48182799833012,49.02527099693543,6
vs_range,500,10,1,BVCRSA,0.5167130002519116,15.94161400134908,272.0691729991813,288.5275000007823,27
vs_range,500,10,1,ECGRQ,0.08133300070767291,0.2963379993161652,26.622469998983433,27.00014099900727,7
vs_range,500,20,1,BVCRSA,0.5321120006556157,17.400905999238603,278.3660639979644,296.2990819978586,53
vs_range,500,20,1,ECGRQ,0.08021100074984133,0.4098819990758784,30.873094998241868,31.363187998067588,4
vs_range,500,30,1,BVCRSA,0.5534519987122621,15.990965999662876,290.9644190003746,307.50883699874976,73
vs_range,500,30,1,ECGRQ,0.07964999895193614,0.38426399987656623,26.537996000115527,27.00190999894403,4
vs_range,500,40,1,BVCRSA,0.521191002917476,16.925296000408707,285.07093000007444,302.5174170034006,103
vs_range,500,40,1,ECGRQ,0.0806419993750751,0.35725199995795265,27.517054000782082,27.95494800011511,5
vs_range,500,50,1,BVCRSA,0.5254300012893509,16.860443000041414,278.439174999221,295.82504800055176,134
vs_range,500,50,1,ECGRQ,0.07785699926898815,0.3602580000006128,26.47271699970588,26.910831998975482,6
vs_kw,500,30,1,BVCRSA,0.7849329995224252,20.933325002260972,278.97863700127346,300.69689500305685,73
vs_kw,500,30,1,ECGRQ,0.11828199785668403,0.5552959992201068,44.40439300014987,45.07797099722666,4
vs_kw,500,30,2,BVCRSA,1.0664879991963971,16.157440000824863,441.35829100196133,458.5822190019826,71
vs_kw,500,30,2,ECGRQ,0.1286629994865507,0.2842049980245065,26.234402997943107,26.647270995454164,6
vs_kw,500,30,3,BVCRSA,1.6976279985101428,16.696935999789275,566.7789619983523,585.1735259966517,77
vs_kw,500,30,3,ECGRQ,0.07857799937482923,0.4107940003450494,25.082979998842347,25.572351998562226,5
vs_kw,500,30,4,BVCRSA,2.436308001051657,17.156832000182476,709.6554820018355,729.2486220030696,81
vs_kw,500,30,4,ECGRQ,0.07840800026315264,0.31294900327338837,25.712965998536674,26.104323002073215,7
vs_kw,500,30,5,BVCRSA,2.936791002866812,17.20292900063214,878.8326089998009,898.9723290032998,93
vs_kw,500,30,5,ECGRQ,0.08365699977730401,0.3655580003396608,28.4213480008475,28.870563000964466,6
