N,algorithm,index_ms,query_ms,agg_ms,total_ms,matched
0,BVCRSA,0,0,0,0,0
0,ECGRQ,0,0,0,0,0
100,BVCRSA,55.03305699676275,3.8194810003915336,0.02898399907280691,58.88152199622709,50
100,ECGRQ,12.438622001354815,0.10227199891232885,0.12264099859748967,12.663534998864634,4
500,BVCRSA,294.8775590011792,18.04364499912481,0.1345529999525752,313.05575700025656,239
500,ECGRQ,26.0921769986453,0.08204500045394525,0.3775309996854048,26.55175299878465,4
800,BVCRSA,429.5805400033714,25.57568000338506,0.187443001777865,455.34366300853435,413
800,ECGRQ,39.24605599968345,0.07682399882469326,0.46656799895572476,39.78944799746387,4
1000,BVCRSA,539.7199859980901,32.0756259970949,0.22020500182406977,572.0158169970091,510
1000,ECGRQ,76.00363199890126,0.1536390009277966,0.641878999886103,76.79914999971515,7
