range_pct,AC-SCRAT_trap_ms,AC-SCRAT_query_ms,AC-SCRAT_total_ms,ABSE-Range_trap_ms,ABSE-Range_query_ms,ABSE-Range_total_ms,IBE-Lattice_trap_ms,IBE-Lattice_query_ms,IBE-Lattice_total_ms
10,1.288577012019232,580.4358879977372,581.7244650097564,4.77006500295829,14946.51010200323,14951.280167006189,423.3292290009558,374156.88261600735,374580.2118450083
20,0.9642360091675073,4351.882745002513,4352.84698101168,4.856805011513643,15179.70329200034,15184.560097011854,687.9043329972774,374154.13691900903,374842.0412520063
30,1.217031996930018,4426.650328008691,4427.867360005621,4.412551992572844,14937.1083159931,14941.520867985673,399.76247400045395,378160.17283999827,378559.9353139987
50,1.251968991709873,5152.961205007159,5154.213173998869,4.85124799888581,15263.412106010946,15268.263354009832,417.8659329918446,374357.55742300535,374775.4233559972
80,1.4337710017571226,5662.325697994675,5663.759468996432,4.851403005886823,15074.390409994521,15079.241813000408,424.49926600966137,374216.189009996,374640.6882760057
