keywords,AC-SCRAT_trap_ms,AC-SCRAT_query_ms,AC-SCRAT_total_ms,AC-SCRAT_index_ms,ABSE-Range_trap_ms,ABSE-Range_query_ms,ABSE-Range_total_ms,ABSE-Range_index_ms,IBE-Lattice_trap_ms,IBE-Lattice_query_ms,IBE-Lattice_total_ms,IBE-Lattice_index_ms,Trinity-I_trap_ms,Trinity-I_query_ms,Trinity-I_total_ms,Trinity-I_index_ms,Trinity-II_trap_ms,Trinity-II_query_ms,Trinity-II_total_ms,Trinity-II_index_ms,MHRQ_trap_ms,MHRQ_query_ms,MHRQ_total_ms,MHRQ_index_ms
1,1.2897189881186932,62.74173498968594,64.03145397780463,140446.6373010073,4.875404003541917,1740.7188979996135,1745.5943020031557,24924.224106987826,412.6443480054149,41604.59697400802,42017.24132201343,5882808.994653999,20.823325000037585,14747.51090799964,14768.334232999678,23392.12725099969,1363.9730429999872,16431.002178999734,17794.97522199972,23879.489556999943,0.6175729999995383,4359.8646289997305,4360.48220199973,99335.62704999986
2,2.772602005279623,155.72417399380356,158.49677599908318,140446.6373010073,8.990159010863863,3057.4588240124285,3066.4489830232924,24924.224106987826,785.7803000079002,72965.3766160045,73751.1569160124,5882808.994653999,41.89681400066547,29426.39734099976,29468.29415500042,23392.12725099969,2738.234509999984,32818.76207099958,35556.99658099956,23879.489556999943,0.7348039998760214,8719.261238999934,8719.99604299981,99335.62704999986
3,3.1658039952162653,237.415724011953,240.58152800716925,140446.6373010073,13.814837991958484,4575.460036998265,4589.274874990224,24924.224106987826,1070.7250249979552,109882.82932700533,110953.55435200328,5882808.994653999,60.59857199943508,44149.06491500005,44209.66348699949,23392.12725099969,4078.988828000092,49232.67808300034,53311.66691100043,23879.489556999943,1.1196280001968262,13473.438408999757,13474.558036999952,99335.62704999986
5,5.322996017639525,395.6681470008334,400.99114301847294,140446.6373010073,22.38288801163435,8054.137872008141,8076.520760019775,24924.224106987826,1727.2132850048365,191880.02999697343,193607.2432819783,5882808.994653999,101.5026149998448,73580.76626599995,73682.26888099979,23392.12725099969,6836.20012900019,81940.82938900011,88777.0295180003,23879.489556999943,1.0471620003045246,23005.113201999848,23006.160364000152,99335.62704999986
10,10.792367000249214,838.9641749818111,849.7565419820603,140446.6373010073,44.96103299607057,15731.498006018228,15776.459039014298,24924.224106987826,3681.2282660393976,374348.63132302416,378029.8595890636,5882808.994653999,202.2966049999013,146899.97096399838,147102.26756899827,23392.12725099969,14165.534437001495,163957.83599100058,178123.3704280021,23879.489556999943,2.256229999147763,46050.3227600002,46052.57898999935,99335.62704999986
20,21.844767936272547,1629.3599939672276,1651.2047619035002,140446.6373010073,95.7153559429571,30705.31471693539,30801.030072878348,24924.224106987826,6796.88665503636,728968.8191690075,735765.7058240438,5882808.994653999,411.2409590011339,293849.0650999997,294260.30605900084,23392.12725099969,26815.216923000207,327631.6944310006,354446.91135400085,23879.489556999943,3.2407259996034554,90161.4550919985,90164.69581799812,99335.62704999986
