N,AC-SCRAT_trap_ms,AC-SCRAT_query_ms,AC-SCRAT_total_ms,AC-SCRAT_index_ms,ABSE-Range_trap_ms,ABSE-Range_query_ms,ABSE-Range_total_ms,ABSE-Range_index_ms,IBE-Lattice_trap_ms,IBE-Lattice_query_ms,IBE-Lattice_total_ms,IBE-Lattice_index_ms,Trinity-I_trap_ms,Trinity-I_query_ms,Trinity-I_total_ms,Trinity-I_index_ms,Trinity-II_trap_ms,Trinity-II_query_ms,Trinity-II_total_ms,Trinity-II_index_ms,MHRQ_trap_ms,MHRQ_query_ms,MHRQ_total_ms,MHRQ_index_ms
100,1.138,90.062,91.2,7035.0,4.401,970.762,975.163,1589.0,337.763,22303.673,22641.436,301771.0,21.654226000009658,871.916543999987,893.5707699999966,4212.417298999981,62.70236000000296,902.6751280000552,965.3774880000584,1878.4799830000336,0.1971510000657872,2122.236651999856,2122.4338029999217,5029.234419999966
200,0.972,134.655,135.627,13884.0,4.421,1292.097,1296.518,2305.0,437.442,31309.078,31746.52,619442.0,18.315602000029685,1663.1239100001949,1681.4395120002246,3330.241132000083,128.99941699993178,1798.6228280001342,1927.622245000066,2708.5581250000814,0.1969709999229962,4388.889544999984,4389.086515999907,10199.664367000196
500,1.071,149.486,150.557,35744.0,4.937,4246.492,4251.429,6680.0,329.985,92584.245,92914.23,1559184.0,17.244705999928556,3859.312981999892,3876.5576879998207,5455.125217000159,268.9708549999068,4265.250407000167,4534.221262000074,6040.568969999868,0.1782960000582534,4562.228852000089,4562.407148000148,25130.571966999923
800,1.185,752.495,753.68,55628.0,4.673,5837.285,5841.958,10922.0,351.86636399885174,145049.02717999357,145400.89354399242,2421481.9052419914,16.90631799988296,6060.097326000005,6077.003643999888,10720.569193999836,415.0203500000771,6749.7178819999135,7164.738231999991,11108.007799000006,0.2043150000190507,19021.71760400006,19021.92191900008,39276.74250299992
1000,1.1735200096154583,591.4495869947132,592.6231070043286,67515.75402398885,4.472732995054685,7472.007398988353,7476.480131983408,12956.261344006634,344.8675679974258,185727.7363030007,186072.6038709981,3004751.8274839967,16.847597999912978,7495.070839000164,7511.918437000077,11972.52496200008,645.9403579999616,8300.651801999948,8946.59215999991,12091.884849000053,0.2712409998366638,22845.09040099988,22845.361641999712,48871.87473300014
