keywords,AC-SCRAT_trap_ms,AC-SCRAT_query_ms,AC-SCRAT_total_ms,AC-SCRAT_index_ms,ABSE-Range_trap_ms,ABSE-Range_query_ms,ABSE-Range_total_ms,ABSE-Range_index_ms,IBE-Lattice_trap_ms,IBE-Lattice_query_ms,IBE-Lattice_total_ms,IBE-Lattice_index_ms
1,1.2897189881186932,62.74173498968594,64.03145397780463,140446.6373010073,4.875404003541917,1740.7188979996135,1745.5943020031555,24924.224106987822,412.64434800541494,41604.59697400802,42017.24132201343,5882808.994653999
2,2.772602005279623,155.72417399380356,158.49677599908318,140446.6373010073,8.990159010863863,3057.4588240124285,3066.4489830232924,24924.224106987822,785.7803000079002,72965.3766160045,73751.1569160124,5882808.994653999
3,3.1658039952162653,237.415724011953,240.58152800716925,140446.6373010073,13.814837991958484,4575.460036998265,4589.274874990224,24924.224106987822,1070.7250249979552,109882.82932700531,110953.55435200327,5882808.994653999
5,5.322996017639525,395.6681470008334,400.99114301847294,140446.6373010073,22.38288801163435,8054.137872008141,8076.5207600197755,24924.224106987822,1727.2132850048365,191880.02999697346,193607.2432819783,5882808.994653999
10,10.792367000249214,838.9641749818111,849.7565419820603,140446.6373010073,44.96103299607057,15731.498006018228,15776.459039014298,24924.224106987822,3681.2282660393976,374348.63132302416,378029.85958906356,5882808.994653999
20,21.844767936272547,1629.3599939672276,1651.2047619035002,140446.6373010073,95.7153559429571,30705.31471693539,30801.030072878348,24924.224106987822,6796.88665503636,728968.8191690075,735765.7058240438,5882808.994653999
