range_pct,AC-SCRAT_trap_ms,AC-SCRAT_query_ms,AC-SCRAT_total_ms,ABSE-Range_trap_ms,ABSE-Range_query_ms,ABSE-Range_total_ms,IBE-Lattice_trap_ms,IBE-Lattice_query_ms,IBE-Lattice_total_ms,Trinity-I_trap_ms,Trinity-I_query_ms,Trinity-I_total_ms,Trinity-II_trap_ms,Trinity-II_query_ms,Trinity-II_total_ms,MHRQ_trap_ms,MHRQ_query_ms,MHRQ_total_ms
10,1.288577012019232,580.4358879977372,581.7244650097564,4.77006500295829,14946.51010200323,14951.280167006187,423.3292290009558,374156.88261600735,374580.2118450083,21.438618000047427,14728.68097699984,14750.119594999887,1415.1169149999987,33339.333428999904,34754.4503439999,0.7626970000274014,46836.9370180003,46837.69971500033
20,0.9642360091675072,4351.882745002513,4352.84698101168,4.856805011513643,15179.70329200034,15184.560097011854,687.9043329972774,374154.136919009,374842.0412520063,19.457652999790295,14738.194104000286,14757.651757000076,1324.2274389999693,16386.4235609999,17710.65099999987,0.4441360001692374,43283.65316200006,43284.09729800023
30,1.217031996930018,4426.650328008691,4427.867360005621,4.412551992572844,14937.1083159931,14941.520867985671,399.762474000454,378160.1728399983,378559.9353139987,26.503805999709584,14735.298781999973,14761.802587999682,1374.7674279998137,16455.919804000132,17830.687231999946,0.5360199997994641,43220.716628000446,43221.25264800024
50,1.251968991709873,5152.961205007159,5154.213173998869,4.85124799888581,15263.412106010946,15268.263354009832,417.8659329918446,374357.55742300535,374775.4233559972,23.92080400022678,14731.302486999994,14755.22329100022,1430.601136000405,16435.932747999686,17866.53388400009,0.6236899998839363,43205.02811600045,43205.65180600034
80,1.4337710017571226,5662.325697994675,5663.759468996432,4.851403005886823,15074.39040999452,15079.241813000408,424.49926600966137,374216.189009996,374640.6882760057,22.119406000001614,14747.15631800018,14769.27572400018,1347.877501000312,16430.483467999693,17778.360969000005,0.5203800001254422,43191.67080599982,43192.191185999945
